IB,IC,B,UCE,UBE,RCE
20,5.35,267.5,0.3,0.663,56.074766355140184
20,5.68,284.00000000000006,0.5,0.669,88.02816901408451
20,5.75,287.5,0.8,0.673,139.13043478260872
20,5.79,289.5,1,0.675,172.71157167530225
20,5.95,297.50000000000006,2,0.674,336.1344537815126
20,6.7,335.00000000000006,4,0.658,597.0149253731344
20,6.91,345.50000000000006,6,0.654,868.3068017366136
20,7.32,366.00000000000006,8,0.643,1092.896174863388
20,7.83,391.50000000000006,10,0.633,1277.1392081736908
20,8.24,412.00000000000006,12,0.624,1456.3106796116504
